epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1623,1.72937,4.82518,1.44245,0.41719,0.25373,0.30619,0.19206,1.2167,2.15329,1.17155,0.00010003,0.00010003,0.00010003
2,81.1479,1.34809,1.99776,1.19121,0.88837,0.36352,0.40351,0.28139,1.07355,2.08162,1.11295,0.000212228,0.000212228,0.000212228
